PATH;ID;REFERENCE;LABEL;WEIGHT;NATURE;TYPE;STATUS;DESCRIPTION;PRE_REQUISITE;CREATED_ON;CREATED_BY;LAST_MODIFIED_ON;LAST_MODIFIED_BY;ACTION;EXPECTED_RESULT
ThingsPro Gateway V2/Basic Configuration/Editing User Profiles;3;01;Editing User Profiles(root/admin/user);LOW;NAT_FUNCTIONAL_TESTING;TYP_COMPLIANCE_TESTING;WORK_IN_PROGRESS;"Gateway 	  	  	  	  	  	 
  	Role Attribute 	Name 	1.root 	2.Admin 	3.User 	 
  	  	Number of account 	1 	unlimited 	unlimited 	 
  	Role Permission 	? 	root 	Admin 	User 	 
  	  	Home 	R 	E 	R 	 
  	  	Gateway 	E 	E 	R 	 
  	  	User Account 	E (root pwd only) 	E 	R 	 
  	  	User Program 	E 	E 	R 	 
  	  	MODBUS & Logging 	E 	E 	R 	 
  	  	MODBUS Slave 	E 	E 	R 	 
  	  	Installed Application 	E 	E 	R 	 
  	  	Application Market 	E 	I 	I 	NA now
  	  	Token 	E 	I 	I 	 
  	Default Account 	Role 	Account 	Name 	Password 	 
  	  	root 	root@moxa.com <mailto:root@moxa.com> 	root 	root1234 	 
  	  	Admin 	admin@moxa.com <mailto:admin@moxa.com> 	admin 	admin1234 	 
  	  	User 	user@moxa.com <mailto:user@moxa.com> 	user 	user1234 	 ";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;Given Navigate to Dashboard;
ThingsPro Gateway V2/Basic Configuration/Editing User Profiles;3;01;Editing User Profiles(root/admin/user);LOW;NAT_FUNCTIONAL_TESTING;TYP_COMPLIANCE_TESTING;WORK_IN_PROGRESS;"Gateway 	  	  	  	  	  	 
  	Role Attribute 	Name 	1.root 	2.Admin 	3.User 	 
  	  	Number of account 	1 	unlimited 	unlimited 	 
  	Role Permission 	? 	root 	Admin 	User 	 
  	  	Home 	R 	E 	R 	 
  	  	Gateway 	E 	E 	R 	 
  	  	User Account 	E (root pwd only) 	E 	R 	 
  	  	User Program 	E 	E 	R 	 
  	  	MODBUS & Logging 	E 	E 	R 	 
  	  	MODBUS Slave 	E 	E 	R 	 
  	  	Installed Application 	E 	E 	R 	 
  	  	Application Market 	E 	I 	I 	NA now
  	  	Token 	E 	I 	I 	 
  	Default Account 	Role 	Account 	Name 	Password 	 
  	  	root 	root@moxa.com <mailto:root@moxa.com> 	root 	root1234 	 
  	  	Admin 	admin@moxa.com <mailto:admin@moxa.com> 	admin 	admin1234 	 
  	  	User 	user@moxa.com <mailto:user@moxa.com> 	user 	user1234 	 ";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"when Click ""ADMIN"" box on the upper-right corner of the main page";
ThingsPro Gateway V2/Basic Configuration/Editing User Profiles;3;01;Editing User Profiles(root/admin/user);LOW;NAT_FUNCTIONAL_TESTING;TYP_COMPLIANCE_TESTING;WORK_IN_PROGRESS;"Gateway 	  	  	  	  	  	 
  	Role Attribute 	Name 	1.root 	2.Admin 	3.User 	 
  	  	Number of account 	1 	unlimited 	unlimited 	 
  	Role Permission 	? 	root 	Admin 	User 	 
  	  	Home 	R 	E 	R 	 
  	  	Gateway 	E 	E 	R 	 
  	  	User Account 	E (root pwd only) 	E 	R 	 
  	  	User Program 	E 	E 	R 	 
  	  	MODBUS & Logging 	E 	E 	R 	 
  	  	MODBUS Slave 	E 	E 	R 	 
  	  	Installed Application 	E 	E 	R 	 
  	  	Application Market 	E 	I 	I 	NA now
  	  	Token 	E 	I 	I 	 
  	Default Account 	Role 	Account 	Name 	Password 	 
  	  	root 	root@moxa.com <mailto:root@moxa.com> 	root 	root1234 	 
  	  	Admin 	admin@moxa.com <mailto:admin@moxa.com> 	admin 	admin1234 	 
  	  	User 	user@moxa.com <mailto:user@moxa.com> 	user 	user1234 	 ";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"And select ""Profile""";
ThingsPro Gateway V2/Basic Configuration/Editing User Profiles;3;01;Editing User Profiles(root/admin/user);LOW;NAT_FUNCTIONAL_TESTING;TYP_COMPLIANCE_TESTING;WORK_IN_PROGRESS;"Gateway 	  	  	  	  	  	 
  	Role Attribute 	Name 	1.root 	2.Admin 	3.User 	 
  	  	Number of account 	1 	unlimited 	unlimited 	 
  	Role Permission 	? 	root 	Admin 	User 	 
  	  	Home 	R 	E 	R 	 
  	  	Gateway 	E 	E 	R 	 
  	  	User Account 	E (root pwd only) 	E 	R 	 
  	  	User Program 	E 	E 	R 	 
  	  	MODBUS & Logging 	E 	E 	R 	 
  	  	MODBUS Slave 	E 	E 	R 	 
  	  	Installed Application 	E 	E 	R 	 
  	  	Application Market 	E 	I 	I 	NA now
  	  	Token 	E 	I 	I 	 
  	Default Account 	Role 	Account 	Name 	Password 	 
  	  	root 	root@moxa.com <mailto:root@moxa.com> 	root 	root1234 	 
  	  	Admin 	admin@moxa.com <mailto:admin@moxa.com> 	admin 	admin1234 	 
  	  	User 	user@moxa.com <mailto:user@moxa.com> 	user 	user1234 	 ";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;Then Navigate to accounts page;
ThingsPro Gateway V2/Basic Configuration/Login/out;5;01;Sign in (Invalid format);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"Given ""Log in"" page";
ThingsPro Gateway V2/Basic Configuration/Login/out;5;01;Sign in (Invalid format);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"when input Invalid ""Email"" format";
ThingsPro Gateway V2/Basic Configuration/Login/out;5;01;Sign in (Invalid format);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"And input Invalid ""Password""";
ThingsPro Gateway V2/Basic Configuration/Login/out;5;01;Sign in (Invalid format);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"Then ""Sign in"" can't be clicked";
ThingsPro Gateway V2/Basic Configuration/Login/out;6;02;Sign in (right information);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;"Email:root@moxa.com Password: root1234
Email:admin@moxa.com Password:admin1234
Email:user@moxa.com Password:user1234";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"Given ""Log in"" page";
ThingsPro Gateway V2/Basic Configuration/Login/out;6;02;Sign in (right information);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;"Email:root@moxa.com Password: root1234
Email:admin@moxa.com Password:admin1234
Email:user@moxa.com Password:user1234";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"when input Invalid ""Email"" format";
